image_id,assigned_rule_id,n_regions,top_region_source,top_region_label,top_region_box
0000437,rule_1,2,model,hard hat,"[319.8000183105469, 386.54998779296875, 341.4000244140625, 407.25]"
0000444,rule_2,2,model,harness,"[36.60000228881836, 81.44999694824219, 973.800048828125, 694.3499755859375]"
0000468,rule_3,2,model,guardrail,"[0.6000000238418579, 417.1499938964844, 556.2000122070312, 701.5499877929688]"
0000469,rule_1,4,model,hard hat,"[202.04998779296875, 499.8000183105469, 301.04998779296875, 597.0]"
0000471,rule_4,2,model,excavator,"[178.20001220703125, 109.3499984741211, 1119.0, 898.6499633789062]"
0000478,rule_3,2,model,guardrail,"[0.6000000238418579, 250.64999389648438, 707.4000244140625, 684.4500122070312]"
0000486,rule_4,2,model,excavator,"[0.44999998807907104, 0.6000000238418579, 898.6499633789062, 1198.2000732421875]"
0000490,rule_4,2,model,excavator,"[401.4000244140625, 444.1499938964844, 825.0000610351562, 740.25]"
0000503,rule_3,2,model,guardrail,"[863.4000244140625, 371.25, 1198.2000732421875, 439.6499938964844]"
0000514,rule_1,2,model,hard hat,"[327.0, 201.14999389648438, 411.0000305175781, 280.3500061035156]"
0000530,rule_4,2,model,excavator,"[737.5, 620.5, 850.5, 747.5]"
0000545,rule_1,2,model,hard hat,"[791.4000244140625, 515.25, 903.0000610351562, 612.4500122070312]"
0000550,rule_3,2,model,guardrail,"[0.6000000238418579, 526.0499877929688, 221.40000915527344, 898.6499633789062]"
0000551,rule_4,1,model,excavator,"[325.3500061035156, 0.36000001430511475, 486.27001953125, 542.52001953125]"
0000559,rule_4,2,model,excavator,"[154.34999084472656, 371.4000244140625, 561.1499633789062, 761.4000244140625]"
0000568,rule_1,2,model,hard hat,"[442.8800354003906, 143.23199462890625, 503.2960205078125, 183.93600463867188]"
0000606,rule_3,2,model,guardrail,"[0.6000000238418579, 292.04998779296875, 610.2000122070312, 898.6499633789062]"
0000613,rule_4,1,model,excavator,"[335.4000244140625, 190.34999084472656, 701.4000244140625, 565.6499633789062]"
0000620,rule_2,16,grid,grid,"[0.0, 0.0, 270.0, 360.0]"
0000623,rule_1,2,model,hard hat,"[812.1599731445312, 137.75999450683594, 882.5599975585938, 190.55999755859375]"
0000625,rule_3,2,model,guardrail,"[0.9599999785423279, 0.5400000214576721, 1917.1199951171875, 1078.3800048828125]"
0000626,rule_3,2,model,guardrail,"[0.6000000238418579, 250.64999389648438, 353.4000244140625, 445.9499816894531]"
0000632,rule_3,2,model,guardrail,"[0.6000000238418579, 482.8000183105469, 1198.2000732421875, 798.7999877929688]"
0000641,rule_1,2,model,hard hat,"[985.800048828125, 265.6125183105469, 1090.2000732421875, 365.51251220703125]"
0000642,rule_2,2,model,harness,"[438.6000061035156, 232.19300842285156, 495.0000305175781, 419.56500244140625]"
0000745,rule_3,2,model,guardrail,"[135.0, 237.14999389648438, 1105.800048828125, 764.5499877929688]"
0000755,rule_1,2,model,hard hat,"[977.4000244140625, 533.25, 991.800048828125, 546.75]"
0000760,rule_1,4,model,hard hat,"[827.4000244140625, 500.8499755859375, 915.0000610351562, 563.8499755859375]"
0000766,rule_1,2,model,hard hat,"[49.80000305175781, 379.01251220703125, 73.80000305175781, 401.2875061035156]"
0000798,rule_3,2,model,guardrail,"[0.6000000238418579, 59.849998474121094, 1198.2000732421875, 363.1499938964844]"
0000804,rule_1,1,model,hard hat,"[527.4205322265625, 615.4425048828125, 579.1195068359375, 669.7575073242188]"
0000874,rule_2,2,model,harness,"[539.2114868164062, 214.58248901367188, 581.8405151367188, 245.94749450683594]"
0000878,rule_4,3,model,excavator,"[0.44999998807907104, 0.6000000238418579, 898.6499633789062, 1198.2000732421875]"
0000879,rule_1,2,model,hard hat,"[871.800048828125, 378.4499816894531, 901.800048828125, 403.6499938964844]"
0000886,rule_2,2,model,harness,"[1113.0, 421.20001220703125, 1198.2000732421875, 518.7999877929688]"
0000888,rule_4,1,model,worker,"[926.3999633789062, 364.5, 1122.239990234375, 952.02001953125]"
0000889,rule_4,2,model,excavator,"[255.00001525878906, 300.1499938964844, 1119.0, 850.949951171875]"
0000895,rule_3,2,model,guardrail,"[3.0, 455.9624938964844, 390.6000061035156, 657.1124877929688]"
0000904,rule_2,2,model,harness,"[420.6000061035156, 805.949951171875, 480.6000061035156, 870.75]"
0000905,rule_3,2,model,guardrail,"[0.6000000238418579, 100.3499984741211, 1198.2000732421875, 898.6499633789062]"
0000923,rule_2,1,model,harness,"[559.0800170898438, 221.47198486328125, 690.1200561523438, 300.9599914550781]"
0000925,rule_2,2,model,harness,"[207.00001525878906, 571.9500122070312, 238.20001220703125, 605.25]"
0000936,rule_4,2,model,excavator,"[450.6000061035156, 175.04998779296875, 762.6000366210938, 435.1499938964844]"
0000940,rule_3,2,model,guardrail,"[0.6000000238418579, 701.5499877929688, 1198.2000732421875, 898.6499633789062]"
0000959,rule_2,2,model,harness,"[521.4000244140625, 195.75, 757.800048828125, 506.25]"
0000991,rule_3,2,model,guardrail,"[576.6000366210938, 537.75, 960.6000366210938, 898.6499633789062]"
0000993,rule_2,2,model,harness,"[435.5, 517.5, 479.5, 563.5]"
0001014,rule_3,2,model,guardrail,"[300.6000061035156, 369.4499816894531, 504.6000061035156, 566.5499877929688]"
0001033,rule_4,2,model,excavator,"[468.6000061035156, 247.04998779296875, 849.0000610351562, 818.5499877929688]"
0001071,rule_3,2,model,guardrail,"[411.3599853515625, 932.47998046875, 770.3999633789062, 1278.0799560546875]"
0001077,rule_1,2,model,hard hat,"[416.25, 1024.2000732421875, 428.8499755859375, 1036.2000732421875]"
0001081,rule_3,2,model,guardrail,"[150.60000610351562, 411.75, 1198.2000732421875, 777.1499633789062]"
0001117,rule_1,2,model,hard hat,"[657.0, 334.3500061035156, 685.800048828125, 352.3499755859375]"
0001151,rule_1,2,model,hard hat,"[561.1199951171875, 286.9200134277344, 585.1199951171875, 299.8800048828125]"
0001194,rule_3,2,model,guardrail,"[0.6000000238418579, 364.9499816894531, 201.00001525878906, 392.8499755859375]"
0001229,rule_3,16,grid,grid,"[0.0, 0.0, 168.75, 300.0]"
0001274,rule_3,2,model,guardrail,"[0.47999998927116394, 560.0, 234.72000122070312, 1278.0799560546875]"
0001325,rule_4,2,model,excavator,"[102.60000610351562, 150.75, 1120.2000732421875, 770.8499755859375]"
0001431,rule_1,2,model,hard hat,"[0.6399999856948853, 684.9599609375, 7.039999961853027, 696.47998046875]"
0001436,rule_3,2,model,guardrail,"[0.6000000238418579, 593.5499877929688, 106.20000457763672, 808.6499633789062]"
0001460,rule_1,2,model,hard hat,"[925.800048828125, 392.8499755859375, 954.6000366210938, 415.3499755859375]"
0001470,rule_1,2,model,hard hat,"[439.6499938964844, 1012.2000122070312, 453.1499938964844, 1023.0000610351562]"
0001484,rule_3,2,model,guardrail,"[0.6000000238418579, 434.3625183105469, 453.0000305175781, 673.9874877929688]"
0001512,rule_4,2,model,excavator,"[575.4000244140625, 177.75, 1073.4000244140625, 810.449951171875]"
0001520,rule_3,3,model,guardrail,"[0.44999998807907104, 263.4000244140625, 898.6499633789062, 1198.2000732421875]"
0001530,rule_2,2,model,harness,"[623.4000244140625, 442.3499755859375, 703.800048828125, 533.25]"
0001597,rule_3,2,model,guardrail,"[0.7200000286102295, 399.0600280761719, 1437.840087890625, 545.9400024414062]"
0001623,rule_3,2,model,guardrail,"[0.6000000238418579, 612.4500122070312, 1198.2000732421875, 898.6499633789062]"
0001667,rule_3,2,model,guardrail,"[0.6000000238418579, 198.4499969482422, 1198.2000732421875, 265.9499816894531]"
0001699,rule_2,2,model,harness,"[805.800048828125, 97.83100128173828, 871.800048828125, 153.4250030517578]"
0001798,rule_3,2,model,guardrail,"[258.0, 1768.5, 1298.0, 2026.5]"
0001804,rule_1,2,model,hard hat,"[1924.3199462890625, 1393.9920654296875, 2124.9599609375, 1533.528076171875]"
0001842,rule_1,2,model,hard hat,"[858.6000366210938, 469.3499755859375, 895.800048828125, 498.1499938964844]"
0001981,rule_3,2,model,guardrail,"[717.4400024414062, 599.5199584960938, 1278.0799560546875, 958.5599975585938]"
0001982,rule_1,2,model,hard hat,"[1141.800048828125, 597.1499633789062, 1168.2000732421875, 618.75]"
0001986,rule_1,2,model,hard hat,"[499.8000183105469, 374.8499755859375, 523.800048828125, 400.04998779296875]"
0001989,rule_3,2,model,guardrail,"[530.5599975585938, 547.6799926757812, 1278.0799560546875, 901.9199829101562]"
0002042,rule_4,2,model,excavator,"[216.60000610351562, 57.14999771118164, 1056.60009765625, 771.75]"
0002092,rule_2,2,model,harness,"[640.2000122070312, 429.75, 718.2000122070312, 481.9499816894531]"
0002150,rule_3,2,model,guardrail,"[444.79998779296875, 672.47998046875, 1278.0799560546875, 958.5599975585938]"
0002153,rule_1,2,model,hard hat,"[151.8000030517578, 377.54998779296875, 198.60000610351562, 419.8499755859375]"
0002158,rule_2,2,model,harness,"[339.0, 628.6499633789062, 370.20001220703125, 660.1499633789062]"
0002178,rule_3,2,model,guardrail,"[0.47999998927116394, 670.0799560546875, 571.6799926757812, 1278.0799560546875]"
0002211,rule_1,2,model,hard hat,"[393.0000305175781, 572.8499755859375, 406.20001220703125, 582.75]"
0002260,rule_1,2,model,hard hat,"[711.0, 706.949951171875, 723.0, 715.0499877929688]"
0002262,rule_1,2,model,hard hat,"[767.4000244140625, 323.0085144042969, 801.0000610351562, 348.23651123046875]"
0002291,rule_1,2,model,hard hat,"[199.8000030517578, 395.6000061035156, 217.8000030517578, 408.3999938964844]"
0002348,rule_1,2,model,hard hat,"[705.0, 581.8499755859375, 747.0, 627.75]"
0002446,rule_4,2,model,excavator,"[377.4000244140625, 181.34999084472656, 526.2000122070312, 490.04998779296875]"
0002480,rule_1,2,model,hard hat,"[357.0, 255.14999389648438, 427.8000183105469, 328.9499816894531]"
0002525,rule_1,2,model,hard hat,"[887.2000122070312, 888.6000366210938, 924.0, 918.6000366210938]"
0002534,rule_3,2,model,guardrail,"[0.6000000238418579, 562.0499877929688, 585.0, 898.6499633789062]"
0002595,rule_3,2,model,guardrail,"[489.0000305175781, 261.4499816894531, 1026.60009765625, 898.6499633789062]"
0002599,rule_1,2,model,hard hat,"[225.00001525878906, 323.54998779296875, 246.60000610351562, 340.6499938964844]"
0002668,rule_1,2,model,hard hat,"[703.800048828125, 487.3499755859375, 723.0, 499.04998779296875]"
0002815,rule_2,2,model,harness,"[705.780029296875, 810.0000610351562, 806.2200317382812, 889.2000122070312]"
0002925,rule_3,2,model,guardrail,"[0.6000000238418579, 413.54998779296875, 540.6000366210938, 460.3499755859375]"
0002957,rule_1,2,model,hard hat,"[610.2000122070312, 460.3499755859375, 635.4000244140625, 476.54998779296875]"
0003067,rule_1,2,model,hard hat,"[854.3999633789062, 328.79998779296875, 903.0399780273438, 363.3599853515625]"
0003071,rule_1,2,model,hard hat,"[561.0, 35.54999923706055, 799.800048828125, 212.84999084472656]"
0003088,rule_4,2,model,excavator,"[318.6000061035156, 274.9499816894531, 888.6000366210938, 812.25]"
0003164,rule_1,2,model,hard hat,"[173.40000915527344, 484.3999938964844, 192.60000610351562, 500.3999938964844]"
0003206,rule_1,2,model,hard hat,"[0.6000000238418579, 393.75, 25.80000114440918, 415.3499755859375]"
0003302,rule_1,2,model,hard hat,"[288.6000061035156, 572.8499755859375, 300.6000061035156, 584.5499877929688]"
0003339,rule_1,4,model,hard hat,"[48.60000228881836, 189.33750915527344, 156.60000610351562, 248.7375030517578]"
0003429,rule_1,2,model,hard hat,"[1253.1199951171875, 728.6399536132812, 1327.3599853515625, 786.239990234375]"
0003479,rule_2,4,model,harness,"[416.13751220703125, 318.6000061035156, 577.4625244140625, 414.6000061035156]"
0003516,rule_1,2,model,hard hat,"[97.80000305175781, 405.20001220703125, 114.60000610351562, 420.3999938964844]"
0003613,rule_3,1,model,guardrail,"[203.0399932861328, 269.44000244140625, 495.8399963378906, 1059.199951171875]"
0003632,rule_2,2,model,harness,"[467.5585021972656, 167.91749572753906, 541.9324951171875, 264.3074951171875]"
0003813,rule_4,2,model,excavator,"[624.6000366210938, 158.0, 955.800048828125, 434.8000183105469]"
0003922,rule_1,1,model,hard hat,"[696.5799560546875, 475.5205078125, 716.2999877929688, 490.1715087890625]"
0003928,rule_1,2,model,hard hat,"[1029.0, 266.9624938964844, 1045.800048828125, 279.1125183105469]"
0003943,rule_1,2,model,hard hat,"[61.80000305175781, 568.3499755859375, 78.60000610351562, 581.8499755859375]"
0004032,rule_3,2,model,guardrail,"[0.6000000238418579, 346.9499816894531, 577.800048828125, 559.3499755859375]"
0004171,rule_1,2,model,hard hat,"[1011.0000610351562, 466.6499938964844, 1030.2000732421875, 481.9499816894531]"
0004196,rule_4,2,model,excavator,"[438.6000061035156, 173.25, 785.4000244140625, 821.25]"
0004273,rule_1,2,model,hard hat,"[990.6000366210938, 454.9499816894531, 1019.4000244140625, 470.25]"
0004332,rule_1,2,model,hard hat,"[0.6000000238418579, 124.64999389648438, 111.00000762939453, 224.54998779296875]"
0004380,rule_1,2,model,hard hat,"[827.4000244140625, 408.1499938964844, 855.0000610351562, 436.04998779296875]"
0004497,rule_1,2,model,hard hat,"[4.200000286102295, 535.9500122070312, 37.80000305175781, 561.1499633789062]"
0004552,rule_3,3,model,guardrail,"[366.6000061035156, 314.2124938964844, 727.800048828125, 535.6124877929688]"
0004680,rule_1,1,model,hard hat,"[142.20001220703125, 157.53599548339844, 153.72000122070312, 165.02398681640625]"
0004716,rule_1,2,model,hard hat,"[281.4000244140625, 403.6000061035156, 293.4000244140625, 416.3999938964844]"
0004831,rule_2,2,model,harness,"[425.4000244140625, 536.8499755859375, 493.8000183105469, 588.1499633789062]"
